user_id,clip_id,gamesession_Id,game_name,event_name,created_at,scheduled_at,join_at
996096,191113437930,211940813.0,Tom Clancy's Rainbow Six: Siege,Single kill,2023-11-30 04:21:52,2023-11-30 04:21:52,2023-08-01 11:27:01
996096,191113639820,211940813.0,Tom Clancy's Rainbow Six: Siege,Single kill,2023-11-30 04:22:07,2023-11-30 04:22:07,2023-08-01 11:27:01
996096,191113639820,211940813.0,Tom Clancy's Rainbow Six: Siege,Single kill,2023-11-30 04:22:07,2023-11-30 04:22:07,2023-08-01 11:27:01
996096,191113779590,211940813.0,Tom Clancy's Rainbow Six: Siege,Single kill,2023-11-30 04:22:20,2023-11-30 04:22:20,2023-08-01 11:27:01
996096,191113779590,211940813.0,Tom Clancy's Rainbow Six: Siege,Single kill,2023-11-30 04:22:20,2023-11-30 04:22:20,2023-08-01 11:27:01
996096,191113981480,211940813.0,Tom Clancy's Rainbow Six: Siege,Single kill,2023-11-30 04:22:46,2023-11-30 04:22:46,2023-08-01 11:27:01
996096,191113981480,211940813.0,Tom Clancy's Rainbow Six: Siege,Single kill,2023-11-30 04:22:47,2023-11-30 04:22:47,2023-08-01 11:27:01
996096,191114090190,211940813.0,Tom Clancy's Rainbow Six: Siege,Single kill,2023-11-30 04:23:01,2023-11-30 04:23:01,2023-08-01 11:27:01
996096,191114090190,211940813.0,Tom Clancy's Rainbow Six: Siege,Single kill,2023-11-30 04:23:02,2023-11-30 04:23:02,2023-08-01 11:27:01
996096,191114214430,211940813.0,Tom Clancy's Rainbow Six: Siege,Single kill,2023-11-30 04:23:14,2023-11-30 04:23:14,2023-08-01 11:27:01
996096,191114214430,211940813.0,Tom Clancy's Rainbow Six: Siege,Single kill,2023-11-30 04:23:14,2023-11-30 04:23:14,2023-08-01 11:27:01
996096,191114354200,211940813.0,Tom Clancy's Rainbow Six: Siege,Single kill,2023-11-30 04:23:25,2023-11-30 04:23:25,2023-08-01 11:27:01
996096,191114556090,211940813.0,Tom Clancy's Rainbow Six: Siege,Single kill,2023-11-30 04:23:36,2023-11-30 04:23:36,2023-08-01 11:27:01
4727411,191949021815,213842762.0,Other Games,emotional-moment,2023-11-30 07:37:26,2023-11-30 07:37:26,2023-03-18 12:32:25
4727411,191949021815,213842762.0,Other Games,emotional-moment,2023-11-30 07:37:26,2023-11-30 07:37:26,2023-03-18 12:32:25
4727411,191949208175,213842762.0,Other Games,emotional-moment,2023-11-30 07:40:14,2023-11-30 07:40:14,2023-03-18 12:32:25
4727411,191949208175,213842762.0,Other Games,emotional-moment,2023-11-30 07:40:14,2023-11-30 07:40:14,2023-03-18 12:32:25
4727411,191949332415,213842762.0,Other Games,emotional-moment,2023-11-30 07:41:24,2023-11-30 07:41:24,2023-03-18 12:32:25
4727411,191949332415,213842762.0,Other Games,emotional-moment,2023-11-30 07:41:24,2023-11-30 07:41:24,2023-03-18 12:32:25
4727411,191949945850,213842762.0,Other Games,emotional-moment,2023-11-30 08:50:39,2023-11-30 08:50:39,2023-03-18 12:32:25
4727411,191949945850,213842762.0,Other Games,emotional-moment,2023-11-30 08:50:39,2023-11-30 08:50:39,2023-03-18 12:32:25
3230920,192212410615,214496062.0,Other Games,,2023-11-30 13:02:26,2023-11-30 19:30:00,2023-10-19 21:22:50
3230920,192214258685,213290888.0,Halo Infinite,,2023-11-30 13:05:06,2023-12-01 00:00:00,2023-10-19 21:22:50
173776,192283235180,212698406.0,Fortnite,,2023-11-30 17:08:31,2023-11-30 18:00:00,2023-09-09 14:38:34
173776,192283235180,212698406.0,Fortnite,,2023-11-30 17:08:31,2023-11-30 18:00:00,2023-09-09 14:38:34
173776,192283235180,212698406.0,Fortnite,,2023-11-30 17:08:31,2023-11-30 18:00:00,2023-09-09 14:38:34
173776,192283235180,212698406.0,Fortnite,,2023-11-30 17:08:31,2023-11-30 18:00:00,2023-09-09 14:38:34
173776,192283506955,212698406.0,Fortnite,,2023-11-30 17:09:21,2023-11-30 18:00:00,2023-09-09 14:38:34
173776,192283506955,212698406.0,Fortnite,,2023-11-30 17:09:22,2023-11-30 18:00:00,2023-09-09 14:38:34
173776,192283506955,212698406.0,Fortnite,,2023-11-30 17:09:22,2023-11-30 18:00:00,2023-09-09 14:38:34
173776,192283506955,212698406.0,Fortnite,,2023-11-30 17:09:22,2023-11-30 18:00:00,2023-09-09 14:38:34
173776,192285976225,209855658.0,Other Games,,2023-11-30 17:12:38,2023-11-30 18:00:00,2023-09-09 14:38:34
173776,192285976225,209855658.0,Other Games,,2023-11-30 17:12:38,2023-11-30 18:00:00,2023-09-09 14:38:34
173776,192285976225,209855658.0,Other Games,,2023-11-30 17:12:38,2023-11-30 18:00:00,2023-09-09 14:38:34
173776,192285976225,209855658.0,Other Games,,2023-11-30 17:12:38,2023-11-30 18:00:00,2023-09-09 14:38:34
1189261,192289757780,214017461.0,Other Games,,2023-11-30 17:45:44,2023-11-30 17:45:44,2023-05-28 06:47:30
1189261,192289757780,214017461.0,Other Games,,2023-11-30 17:45:44,2023-11-30 17:45:44,2023-05-28 06:47:30
1189261,192289757780,214017461.0,Other Games,,2023-11-30 17:45:45,2023-11-30 17:45:45,2023-05-28 06:47:30
1189261,192289757780,214017461.0,Other Games,,2023-11-30 17:45:46,2023-11-30 17:45:46,2023-05-28 06:47:30
1189261,192293003550,214017461.0,Other Games,,2023-11-30 17:45:58,2023-11-30 17:45:58,2023-05-28 06:47:30
1189261,192293003550,214017461.0,Other Games,,2023-11-30 17:45:58,2023-11-30 17:45:58,2023-05-28 06:47:30
1189261,192293003550,214017461.0,Other Games,,2023-11-30 17:45:58,2023-11-30 17:45:58,2023-05-28 06:47:30
1189261,192293003550,214017461.0,Other Games,,2023-11-30 17:45:59,2023-11-30 17:45:59,2023-05-28 06:47:30
1189261,192293780050,214017461.0,Other Games,,2023-11-30 17:46:08,2023-11-30 17:46:08,2023-05-28 06:47:30
1189261,192293780050,214017461.0,Other Games,,2023-11-30 17:46:08,2023-11-30 17:46:08,2023-05-28 06:47:30
1189261,192293780050,214017461.0,Other Games,,2023-11-30 17:46:09,2023-11-30 17:46:09,2023-05-28 06:47:30
1189261,192293780050,214017461.0,Other Games,,2023-11-30 17:46:09,2023-11-30 17:46:09,2023-05-28 06:47:30
1189261,192294898210,214017461.0,Other Games,,2023-11-30 17:49:42,2023-11-30 17:49:42,2023-05-28 06:47:30
1189261,192294898210,214017461.0,Other Games,,2023-11-30 17:49:43,2023-11-30 17:49:43,2023-05-28 06:47:30
1189261,192294898210,214017461.0,Other Games,,2023-11-30 17:49:43,2023-11-30 17:49:43,2023-05-28 06:47:30
1189261,192294898210,214017461.0,Other Games,,2023-11-30 17:49:43,2023-11-30 17:49:43,2023-05-28 06:47:30
236364,192295806715,214070853.0,COD: Warzone3-2 & MW3-2,Killstreak,2023-11-30 18:42:27,2023-11-30 18:42:27,2023-11-14 13:14:18
4238903,192308269540,214398537.0,Among Us,,2023-11-30 19:37:54,2023-11-30 19:37:54,2023-10-02 09:36:41
4238903,192183299630,214398537.0,Among Us,emotional-moment,2023-11-30 19:45:53,2023-11-30 21:13:00,2023-10-02 09:36:41
4238903,190706412160,211063135.0,Among Us,emotional-moment,2023-11-30 19:56:20,2023-11-30 23:16:00,2023-10-02 09:36:41
4491681,192310684455,214136653.0,Fortnite,,2023-11-30 20:02:25,2023-11-30 20:30:00,2023-10-07 07:42:04
4491681,192310684455,214136653.0,Fortnite,,2023-11-30 20:02:25,2023-11-30 20:30:00,2023-10-07 07:42:04
4491681,192311639550,213289055.0,Fortnite,,2023-11-30 20:22:02,2023-11-30 23:05:00,2023-10-07 07:42:04
4491681,192311639550,213289055.0,Fortnite,,2023-11-30 20:22:02,2023-11-30 23:05:00,2023-10-07 07:42:04
4238903,192312392755,214398537.0,Among Us,,2023-11-30 20:26:05,2023-11-30 20:26:05,2023-10-02 09:36:41
4238903,192183416105,214398537.0,Among Us,emotional-moment,2023-11-30 20:29:59,2023-11-30 21:33:00,2023-10-02 09:36:41
1759751,192321470040,214773362.0,COD: Warzone3-2 & MW3-2,,2023-11-30 21:28:35,2023-11-30 21:28:35,2023-10-17 23:47:33
4224739,191605715635,213043104.0,Apex Legends,Chain kill,2023-11-30 22:52:04,2023-11-30 22:52:04,2023-10-17 11:14:36
4224739,191605715635,213043104.0,Apex Legends,Chain kill,2023-11-30 22:52:04,2023-11-30 22:52:04,2023-10-17 11:14:36
4900466,192413221280,214822430.0,COD: Warzone3-2 & MW3-2,Single kill,2023-12-01 06:37:35,2023-12-01 06:37:35,2023-11-13 11:20:02
4238903,192464283920,215115428.0,Among Us,,2023-12-01 09:39:43,2023-12-01 09:39:43,2023-10-02 09:36:41
1718513,191219538890,204684483.0,Other Games,,2023-12-01 12:10:52,2023-12-01 12:10:52,2023-06-18 23:06:31
1718513,191219538890,204684483.0,Other Games,,2023-12-01 12:10:53,2023-12-01 12:10:53,2023-06-18 23:06:31
1718513,192513327660,212229487.0,COD: Black Ops Coldwar,,2023-12-01 12:34:47,2023-12-01 12:34:47,2023-06-18 23:06:31
